 eta_low eta_high   pt_low  pt_high    effData   statData   systData      effMC     statMC     systMC         SF    SF_Stat    SF_Syst   SF_Total
   0.000    0.200     10.0     15.0     0.6287     0.0048     0.0128     0.6338     0.0035     0.0100     0.9920     0.0094     0.0256     0.0272
   0.000    0.200     15.0     20.0     0.7132     0.0026     0.0111     0.7228     0.0018     0.0106     0.9869     0.0044     0.0211     0.0215
   0.000    0.200     20.0     25.0     0.7957     0.0015     0.0082     0.7931     0.0011     0.0097     1.0033     0.0024     0.0160     0.0162
   0.000    0.200     25.0     30.0     0.8546     0.0009     0.0048     0.8555     0.0007     0.0047     0.9989     0.0013     0.0079     0.0080
   0.000    0.200     30.0     40.0     0.9242     0.0003     0.0010     0.9281     0.0003     0.0008     0.9958     0.0005     0.0014     0.0015
   0.000    0.200     40.0     60.0     0.9690     0.0002     0.0006     0.9719     0.0001     0.0003     0.9971     0.0002     0.0007     0.0007
   0.000    0.200     60.0    100.0     0.9808     0.0006     0.0008     0.9821     0.0004     0.0003     0.9986     0.0007     0.0008     0.0011
   0.000    0.200    100.0    200.0     0.9854     0.0014     0.0028     0.9839     0.0010     0.0005     1.0016     0.0017     0.0029     0.0034
   0.200    0.300     10.0     15.0     0.6534     0.0078     0.0099     0.6395     0.0050     0.0084     1.0218     0.0146     0.0205     0.0252
   0.200    0.300     15.0     20.0     0.7241     0.0032     0.0102     0.7234     0.0028     0.0112     1.0010     0.0059     0.0209     0.0218
   0.200    0.300     20.0     25.0     0.7929     0.0022     0.0107     0.7892     0.0017     0.0105     1.0048     0.0036     0.0190     0.0193
   0.200    0.300     25.0     30.0     0.8535     0.0013     0.0051     0.8543     0.0011     0.0052     0.9989     0.0020     0.0085     0.0088
   0.200    0.300     30.0     40.0     0.9264     0.0004     0.0008     0.9286     0.0004     0.0008     0.9976     0.0006     0.0012     0.0013
   0.200    0.300     40.0     60.0     0.9703     0.0003     0.0006     0.9719     0.0002     0.0004     0.9984     0.0003     0.0007     0.0008
   0.200    0.300     60.0    100.0     0.9829     0.0008     0.0008     0.9816     0.0006     0.0004     1.0014     0.0010     0.0009     0.0014
   0.200    0.300    100.0    200.0     0.9918     0.0024     0.0027     0.9867     0.0013     0.0010     1.0052     0.0027     0.0029     0.0040
   0.300    0.800     10.0     15.0     0.6682     0.0028     0.0075     0.6574     0.0019     0.0080     1.0164     0.0052     0.0169     0.0177
   0.300    0.800     15.0     20.0     0.7466     0.0016     0.0103     0.7329     0.0012     0.0105     1.0186     0.0028     0.0203     0.0205
   0.300    0.800     20.0     25.0     0.7993     0.0008     0.0110     0.7901     0.0008     0.0111     1.0117     0.0014     0.0199     0.0199
   0.300    0.800     25.0     30.0     0.8591     0.0005     0.0054     0.8526     0.0005     0.0054     1.0076     0.0008     0.0090     0.0091
   0.300    0.800     30.0     40.0     0.9323     0.0001     0.0008     0.9307     0.0001     0.0008     1.0016     0.0002     0.0011     0.0012
   0.300    0.800     40.0     60.0     0.9735     0.0001     0.0003     0.9736     0.0001     0.0003     0.9999     0.0002     0.0005     0.0005
   0.300    0.800     60.0    100.0     0.9833     0.0004     0.0003     0.9829     0.0002     0.0003     1.0004     0.0004     0.0004     0.0006
   0.300    0.800    100.0    200.0     0.9861     0.0009     0.0017     0.9831     0.0006     0.0006     1.0030     0.0011     0.0019     0.0022
   0.800    1.200     10.0     15.0     0.6876     0.0023     0.0072     0.6681     0.0021     0.0069     1.0292     0.0047     0.0151     0.0158
   0.800    1.200     15.0     20.0     0.7548     0.0015     0.0091     0.7369     0.0014     0.0094     1.0242     0.0029     0.0180     0.0182
   0.800    1.200     20.0     25.0     0.8091     0.0007     0.0113     0.7899     0.0009     0.0118     1.0242     0.0015     0.0210     0.0210
   0.800    1.200     25.0     30.0     0.8611     0.0007     0.0060     0.8482     0.0006     0.0061     1.0153     0.0011     0.0101     0.0102
   0.800    1.200     30.0     40.0     0.9334     0.0002     0.0015     0.9289     0.0002     0.0008     1.0048     0.0003     0.0018     0.0019
   0.800    1.200     40.0     60.0     0.9752     0.0001     0.0003     0.9741     0.0001     0.0003     1.0012     0.0002     0.0005     0.0005
   0.800    1.200     60.0    100.0     0.9851     0.0004     0.0006     0.9835     0.0003     0.0003     1.0016     0.0005     0.0007     0.0008
   0.800    1.200    100.0    200.0     0.9844     0.0010     0.0015     0.9845     0.0007     0.0006     0.9999     0.0013     0.0016     0.0021
   1.200    1.600     10.0     15.0     0.7293     0.0026     0.0069     0.7006     0.0020     0.0058     1.0409     0.0048     0.0131     0.0140
   1.200    1.600     15.0     20.0     0.7833     0.0016     0.0081     0.7672     0.0013     0.0084     1.0210     0.0027     0.0154     0.0157
   1.200    1.600     20.0     25.0     0.8324     0.0011     0.0099     0.8186     0.0009     0.0107     1.0169     0.0018     0.0180     0.0181
   1.200    1.600     25.0     30.0     0.8798     0.0007     0.0056     0.8676     0.0006     0.0063     1.0141     0.0011     0.0098     0.0099
   1.200    1.600     30.0     40.0     0.9406     0.0002     0.0006     0.9360     0.0002     0.0008     1.0050     0.0003     0.0011     0.0011
   1.200    1.600     40.0     60.0     0.9795     0.0001     0.0003     0.9786     0.0001     0.0003     1.0009     0.0001     0.0004     0.0004
   1.200    1.600     60.0    100.0     0.9870     0.0004     0.0004     0.9859     0.0003     0.0003     1.0011     0.0005     0.0006     0.0007
   1.200    1.600    100.0    200.0     0.9861     0.0010     0.0009     0.9858     0.0007     0.0006     1.0003     0.0013     0.0010     0.0016
   1.600    2.100     10.0     15.0     0.7648     0.0023     0.0035     0.7291     0.0017     0.0039     1.0488     0.0040     0.0074     0.0084
   1.600    2.100     15.0     20.0     0.8242     0.0012     0.0051     0.7945     0.0012     0.0067     1.0374     0.0022     0.0108     0.0110
   1.600    2.100     20.0     25.0     0.8691     0.0010     0.0076     0.8461     0.0008     0.0082     1.0272     0.0015     0.0134     0.0135
   1.600    2.100     25.0     30.0     0.9116     0.0006     0.0047     0.8918     0.0006     0.0049     1.0222     0.0009     0.0077     0.0077
   1.600    2.100     30.0     40.0     0.9575     0.0002     0.0007     0.9487     0.0002     0.0007     1.0093     0.0003     0.0010     0.0011
   1.600    2.100     40.0     60.0     0.9858     0.0001     0.0003     0.9828     0.0001     0.0002     1.0030     0.0001     0.0004     0.0004
   1.600    2.100     60.0    100.0     0.9902     0.0003     0.0004     0.9884     0.0002     0.0003     1.0019     0.0004     0.0006     0.0007
   1.600    2.100    100.0    200.0     0.9904     0.0010     0.0011     0.9873     0.0007     0.0005     1.0031     0.0013     0.0012     0.0018
   2.100    2.400     10.0     15.0     0.7462     0.0027     0.0043     0.7064     0.0024     0.0038     1.0563     0.0053     0.0084     0.0099
   2.100    2.400     15.0     20.0     0.8096     0.0021     0.0055     0.7823     0.0017     0.0052     1.0348     0.0035     0.0098     0.0104
   2.100    2.400     20.0     25.0     0.8609     0.0012     0.0057     0.8385     0.0011     0.0063     1.0267     0.0020     0.0103     0.0105
   2.100    2.400     25.0     30.0     0.9070     0.0008     0.0032     0.8902     0.0007     0.0035     1.0188     0.0013     0.0053     0.0055
   2.100    2.400     30.0     40.0     0.9547     0.0003     0.0004     0.9466     0.0003     0.0006     1.0087     0.0004     0.0008     0.0009
   2.100    2.400     40.0     60.0     0.9834     0.0001     0.0002     0.9800     0.0001     0.0002     1.0035     0.0002     0.0003     0.0004
   2.100    2.400     60.0    100.0     0.9923     0.0005     0.0008     0.9885     0.0004     0.0003     1.0039     0.0006     0.0009     0.0011
   2.100    2.400    100.0    200.0     0.9970     0.0014     0.0046     0.9894     0.0011     0.0005     1.0076     0.0018     0.0047     0.0050
