   eta_low   eta_high     pt_low    pt_high   efficiency
    -2.400     -2.100       10.0       15.0     0.706382
    -2.400     -2.100       15.0       20.0     0.785283
    -2.400     -2.100       20.0       25.0     0.841674
    -2.400     -2.100       25.0       30.0     0.892797
    -2.400     -2.100       30.0       40.0     0.946897
    -2.400     -2.100       40.0       60.0     0.980413
    -2.400     -2.100       60.0      100.0     0.988307
    -2.400     -2.100      100.0      200.0     0.989627
    -2.100     -1.600       10.0       15.0     0.728142
    -2.100     -1.600       15.0       20.0     0.796016
    -2.100     -1.600       20.0       25.0     0.846115
    -2.100     -1.600       25.0       30.0     0.891850
    -2.100     -1.600       30.0       40.0     0.948657
    -2.100     -1.600       40.0       60.0     0.982871
    -2.100     -1.600       60.0      100.0     0.988540
    -2.100     -1.600      100.0      200.0     0.987346
    -1.600     -1.200       10.0       15.0     0.696974
    -1.600     -1.200       15.0       20.0     0.769409
    -1.600     -1.200       20.0       25.0     0.820056
    -1.600     -1.200       25.0       30.0     0.868499
    -1.600     -1.200       30.0       40.0     0.936458
    -1.600     -1.200       40.0       60.0     0.979035
    -1.600     -1.200       60.0      100.0     0.985869
    -1.600     -1.200      100.0      200.0     0.986335
    -1.200     -0.800       10.0       15.0     0.669186
    -1.200     -0.800       15.0       20.0     0.738472
    -1.200     -0.800       20.0       25.0     0.791094
    -1.200     -0.800       25.0       30.0     0.848970
    -1.200     -0.800       30.0       40.0     0.928882
    -1.200     -0.800       40.0       60.0     0.974348
    -1.200     -0.800       60.0      100.0     0.983819
    -1.200     -0.800      100.0      200.0     0.983930
    -0.800     -0.300       10.0       15.0     0.657143
    -0.800     -0.300       15.0       20.0     0.734317
    -0.800     -0.300       20.0       25.0     0.790891
    -0.800     -0.300       25.0       30.0     0.854497
    -0.800     -0.300       30.0       40.0     0.931259
    -0.800     -0.300       40.0       60.0     0.973763
    -0.800     -0.300       60.0      100.0     0.983218
    -0.800     -0.300      100.0      200.0     0.982274
    -0.300     -0.200       10.0       15.0     0.644326
    -0.300     -0.200       15.0       20.0     0.726154
    -0.300     -0.200       20.0       25.0     0.789410
    -0.300     -0.200       25.0       30.0     0.855589
    -0.300     -0.200       30.0       40.0     0.928578
    -0.300     -0.200       40.0       60.0     0.972383
    -0.300     -0.200       60.0      100.0     0.981590
    -0.300     -0.200      100.0      200.0     0.987193
    -0.200      0.000       10.0       15.0     0.630924
    -0.200      0.000       15.0       20.0     0.720863
    -0.200      0.000       20.0       25.0     0.793868
    -0.200      0.000       25.0       30.0     0.855094
    -0.200      0.000       30.0       40.0     0.928494
    -0.200      0.000       40.0       60.0     0.971887
    -0.200      0.000       60.0      100.0     0.982246
    -0.200      0.000      100.0      200.0     0.982036
     0.000      0.200       10.0       15.0     0.636739
     0.000      0.200       15.0       20.0     0.724586
     0.000      0.200       20.0       25.0     0.792164
     0.000      0.200       25.0       30.0     0.855774
     0.000      0.200       30.0       40.0     0.927708
     0.000      0.200       40.0       60.0     0.971895
     0.000      0.200       60.0      100.0     0.982074
     0.000      0.200      100.0      200.0     0.985805
     0.200      0.300       10.0       15.0     0.634683
     0.200      0.300       15.0       20.0     0.720614
     0.200      0.300       20.0       25.0     0.788931
     0.200      0.300       25.0       30.0     0.853105
     0.200      0.300       30.0       40.0     0.928648
     0.200      0.300       40.0       60.0     0.971401
     0.200      0.300       60.0      100.0     0.981567
     0.200      0.300      100.0      200.0     0.986130
     0.300      0.800       10.0       15.0     0.657672
     0.300      0.800       15.0       20.0     0.731529
     0.300      0.800       20.0       25.0     0.789157
     0.300      0.800       25.0       30.0     0.850698
     0.300      0.800       30.0       40.0     0.930167
     0.300      0.800       40.0       60.0     0.973363
     0.300      0.800       60.0      100.0     0.982561
     0.300      0.800      100.0      200.0     0.984034
     0.800      1.200       10.0       15.0     0.666951
     0.800      1.200       15.0       20.0     0.735404
     0.800      1.200       20.0       25.0     0.788833
     0.800      1.200       25.0       30.0     0.847424
     0.800      1.200       30.0       40.0     0.928930
     0.800      1.200       40.0       60.0     0.973932
     0.800      1.200       60.0      100.0     0.983337
     0.800      1.200      100.0      200.0     0.985002
     1.200      1.600       10.0       15.0     0.704299
     1.200      1.600       15.0       20.0     0.764964
     1.200      1.600       20.0       25.0     0.817080
     1.200      1.600       25.0       30.0     0.866601
     1.200      1.600       30.0       40.0     0.935474
     1.200      1.600       40.0       60.0     0.978165
     1.200      1.600       60.0      100.0     0.986043
     1.200      1.600      100.0      200.0     0.985314
     1.600      2.100       10.0       15.0     0.730183
     1.600      2.100       15.0       20.0     0.793025
     1.600      2.100       20.0       25.0     0.846107
     1.600      2.100       25.0       30.0     0.891659
     1.600      2.100       30.0       40.0     0.948669
     1.600      2.100       40.0       60.0     0.982656
     1.600      2.100       60.0      100.0     0.988237
     1.600      2.100      100.0      200.0     0.987269
     2.100      2.400       10.0       15.0     0.706439
     2.100      2.400       15.0       20.0     0.779425
     2.100      2.400       20.0       25.0     0.835211
     2.100      2.400       25.0       30.0     0.887739
     2.100      2.400       30.0       40.0     0.946206
     2.100      2.400       40.0       60.0     0.979597
     2.100      2.400       60.0      100.0     0.988654
     2.100      2.400      100.0      200.0     0.989260
