 eta_low eta_high   pt_low  pt_high    effData   statData   systData      effMC     statMC     systMC         SF    SF_Stat    SF_Syst   SF_Total
   0.000    0.200     10.0     15.0     0.9656     0.0023     0.0037     0.9730     0.0011     0.0018     0.9924     0.0026     0.0042     0.0050
   0.000    0.200     15.0     20.0     0.9647     0.0012     0.0022     0.9793     0.0006     0.0010     0.9850     0.0014     0.0025     0.0028
   0.000    0.200     20.0     25.0     0.9724     0.0005     0.0013     0.9815     0.0004     0.0006     0.9907     0.0007     0.0014     0.0016
   0.000    0.200     25.0     30.0     0.9733     0.0004     0.0014     0.9822     0.0003     0.0004     0.9909     0.0005     0.0014     0.0015
   0.000    0.200     30.0     40.0     0.9748     0.0001     0.0008     0.9829     0.0001     0.0003     0.9917     0.0002     0.0008     0.0008
   0.000    0.200     40.0     60.0     0.9741     0.0001     0.0009     0.9828     0.0001     0.0003     0.9911     0.0002     0.0009     0.0009
   0.000    0.200     60.0    100.0     0.9728     0.0006     0.0009     0.9813     0.0004     0.0003     0.9913     0.0007     0.0010     0.0012
   0.000    0.200    100.0    200.0     0.9727     0.0019     0.0013     0.9810     0.0010     0.0002     0.9915     0.0022     0.0013     0.0026
   0.200    0.300     10.0     15.0     0.8575     0.0056     0.0064     0.8922     0.0031     0.0015     0.9610     0.0071     0.0074     0.0102
   0.200    0.300     15.0     20.0     0.8659     0.0027     0.0040     0.8966     0.0018     0.0007     0.9658     0.0036     0.0045     0.0058
   0.200    0.300     20.0     25.0     0.8780     0.0017     0.0017     0.9033     0.0012     0.0004     0.9719     0.0023     0.0019     0.0030
   0.200    0.300     25.0     30.0     0.8741     0.0012     0.0019     0.9011     0.0008     0.0003     0.9701     0.0016     0.0022     0.0027
   0.200    0.300     30.0     40.0     0.8762     0.0005     0.0009     0.9035     0.0004     0.0001     0.9698     0.0007     0.0010     0.0012
   0.200    0.300     40.0     60.0     0.8736     0.0005     0.0013     0.9015     0.0004     0.0002     0.9691     0.0007     0.0015     0.0016
   0.200    0.300     60.0    100.0     0.8725     0.0016     0.0027     0.8975     0.0012     0.0003     0.9721     0.0023     0.0030     0.0038
   0.200    0.300    100.0    200.0     0.8532     0.0047     0.0027     0.8966     0.0034     0.0004     0.9516     0.0064     0.0030     0.0071
   0.300    0.800     10.0     15.0     0.9712     0.0016     0.0040     0.9831     0.0005     0.0011     0.9879     0.0017     0.0042     0.0045
   0.300    0.800     15.0     20.0     0.9796     0.0007     0.0011     0.9888     0.0003     0.0004     0.9907     0.0007     0.0012     0.0014
   0.300    0.800     20.0     25.0     0.9838     0.0003     0.0011     0.9912     0.0002     0.0002     0.9925     0.0003     0.0011     0.0011
   0.300    0.800     25.0     30.0     0.9837     0.0002     0.0009     0.9920     0.0001     0.0002     0.9915     0.0002     0.0009     0.0009
   0.300    0.800     30.0     40.0     0.9843     0.0001     0.0005     0.9923     0.0001     0.0001     0.9919     0.0001     0.0005     0.0005
   0.300    0.800     40.0     60.0     0.9839     0.0001     0.0004     0.9923     0.0001     0.0002     0.9916     0.0001     0.0005     0.0005
   0.300    0.800     60.0    100.0     0.9815     0.0003     0.0008     0.9915     0.0001     0.0002     0.9899     0.0003     0.0009     0.0009
   0.300    0.800    100.0    200.0     0.9792     0.0010     0.0011     0.9900     0.0005     0.0003     0.9891     0.0011     0.0012     0.0017
   0.800    1.200     10.0     15.0     0.9460     0.0016     0.0051     0.9658     0.0008     0.0023     0.9794     0.0018     0.0058     0.0060
   0.800    1.200     15.0     20.0     0.9544     0.0008     0.0026     0.9738     0.0005     0.0009     0.9800     0.0010     0.0029     0.0030
   0.800    1.200     20.0     25.0     0.9578     0.0005     0.0011     0.9767     0.0004     0.0004     0.9807     0.0006     0.0013     0.0014
   0.800    1.200     25.0     30.0     0.9605     0.0004     0.0006     0.9769     0.0003     0.0002     0.9832     0.0005     0.0006     0.0008
   0.800    1.200     30.0     40.0     0.9592     0.0002     0.0009     0.9770     0.0001     0.0002     0.9818     0.0002     0.0009     0.0010
   0.800    1.200     40.0     60.0     0.9594     0.0001     0.0005     0.9774     0.0001     0.0001     0.9816     0.0002     0.0005     0.0005
   0.800    1.200     60.0    100.0     0.9554     0.0006     0.0006     0.9748     0.0004     0.0002     0.9801     0.0007     0.0006     0.0009
   0.800    1.200    100.0    200.0     0.9519     0.0018     0.0009     0.9708     0.0010     0.0003     0.9806     0.0021     0.0010     0.0023
   1.200    1.600     10.0     15.0     0.9740     0.0016     0.0062     0.9841     0.0005     0.0024     0.9897     0.0017     0.0067     0.0069
