   eta_low   eta_high     pt_low    pt_high   efficiency
    -2.400     -2.100       10.0       15.0     0.946816
    -2.400     -2.100       15.0       20.0     0.957135
    -2.400     -2.100       20.0       25.0     0.963988
    -2.400     -2.100       25.0       30.0     0.964368
    -2.400     -2.100       30.0       40.0     0.965542
    -2.400     -2.100       40.0       60.0     0.967588
    -2.400     -2.100       60.0      100.0     0.961631
    -2.400     -2.100      100.0      200.0     0.952969
    -2.100     -1.600       10.0       15.0     0.983324
    -2.100     -1.600       15.0       20.0     0.988115
    -2.100     -1.600       20.0       25.0     0.991325
    -2.100     -1.600       25.0       30.0     0.991275
    -2.100     -1.600       30.0       40.0     0.990486
    -2.100     -1.600       40.0       60.0     0.989211
    -2.100     -1.600       60.0      100.0     0.986703
    -2.100     -1.600      100.0      200.0     0.980926
    -1.600     -1.200       10.0       15.0     0.984393
    -1.600     -1.200       15.0       20.0     0.990140
    -1.600     -1.200       20.0       25.0     0.994795
    -1.600     -1.200       25.0       30.0     0.995293
    -1.600     -1.200       30.0       40.0     0.995308
    -1.600     -1.200       40.0       60.0     0.995611
    -1.600     -1.200       60.0      100.0     0.995185
    -1.600     -1.200      100.0      200.0     0.993610
    -1.200     -0.800       10.0       15.0     0.966649
    -1.200     -0.800       15.0       20.0     0.973194
    -1.200     -0.800       20.0       25.0     0.976040
    -1.200     -0.800       25.0       30.0     0.976400
    -1.200     -0.800       30.0       40.0     0.976336
    -1.200     -0.800       40.0       60.0     0.976564
    -1.200     -0.800       60.0      100.0     0.974530
    -1.200     -0.800      100.0      200.0     0.969928
    -0.800     -0.300       10.0       15.0     0.983140
    -0.800     -0.300       15.0       20.0     0.989157
    -0.800     -0.300       20.0       25.0     0.991486
    -0.800     -0.300       25.0       30.0     0.992376
    -0.800     -0.300       30.0       40.0     0.992628
    -0.800     -0.300       40.0       60.0     0.992634
    -0.800     -0.300       60.0      100.0     0.991926
    -0.800     -0.300      100.0      200.0     0.990878
    -0.300     -0.200       10.0       15.0     0.894860
    -0.300     -0.200       15.0       20.0     0.903705
    -0.300     -0.200       20.0       25.0     0.907372
    -0.300     -0.200       25.0       30.0     0.904555
    -0.300     -0.200       30.0       40.0     0.907671
    -0.300     -0.200       40.0       60.0     0.906353
    -0.300     -0.200       60.0      100.0     0.903743
    -0.300     -0.200      100.0      200.0     0.901185
    -0.200      0.000       10.0       15.0     0.972951
    -0.200      0.000       15.0       20.0     0.980229
    -0.200      0.000       20.0       25.0     0.982852
    -0.200      0.000       25.0       30.0     0.983051
    -0.200      0.000       30.0       40.0     0.983914
    -0.200      0.000       40.0       60.0     0.983473
    -0.200      0.000       60.0      100.0     0.981754
    -0.200      0.000      100.0      200.0     0.980894
     0.000      0.200       10.0       15.0     0.972980
     0.000      0.200       15.0       20.0     0.978431
     0.000      0.200       20.0       25.0     0.980150
     0.000      0.200       25.0       30.0     0.981340
     0.000      0.200       30.0       40.0     0.981959
     0.000      0.200       40.0       60.0     0.982011
     0.000      0.200       60.0      100.0     0.980900
     0.000      0.200      100.0      200.0     0.981118
     0.200      0.300       10.0       15.0     0.889597
     0.200      0.300       15.0       20.0     0.889614
     0.200      0.300       20.0       25.0     0.899291
     0.200      0.300       25.0       30.0     0.897621
     0.200      0.300       30.0       40.0     0.899333
     0.200      0.300       40.0       60.0     0.896597
     0.200      0.300       60.0      100.0     0.891438
     0.200      0.300      100.0      200.0     0.891978
     0.300      0.800       10.0       15.0     0.983130
     0.300      0.800       15.0       20.0     0.988305
     0.300      0.800       20.0       25.0     0.990890
     0.300      0.800       25.0       30.0     0.991706
     0.300      0.800       30.0       40.0     0.992024
     0.300      0.800       40.0       60.0     0.991916
     0.300      0.800       60.0      100.0     0.991143
     0.300      0.800      100.0      200.0     0.989096
     0.800      1.200       10.0       15.0     0.965042
     0.800      1.200       15.0       20.0     0.974530
     0.800      1.200       20.0       25.0     0.977306
     0.800      1.200       25.0       30.0     0.977392
     0.800      1.200       30.0       40.0     0.977850
     0.800      1.200       40.0       60.0     0.978177
     0.800      1.200       60.0      100.0     0.975133
     0.800      1.200      100.0      200.0     0.971637
     1.200      1.600       10.0       15.0     0.983822
     1.200      1.600       15.0       20.0     0.990232
     1.200      1.600       20.0       25.0     0.994709
     1.200      1.600       25.0       30.0     0.994994
     1.200      1.600       30.0       40.0     0.995110
     1.200      1.600       40.0       60.0     0.995615
     1.200      1.600       60.0      100.0     0.995180
     1.200      1.600      100.0      200.0     0.995766
     1.600      2.100       10.0       15.0     0.981668
     1.600      2.100       15.0       20.0     0.986866
     1.600      2.100       20.0       25.0     0.992086
     1.600      2.100       25.0       30.0     0.990670
     1.600      2.100       30.0       40.0     0.990360
     1.600      2.100       40.0       60.0     0.989561
     1.600      2.100       60.0      100.0     0.986770
     1.600      2.100      100.0      200.0     0.980699
     2.100      2.400       10.0       15.0     0.944368
     2.100      2.400       15.0       20.0     0.954672
     2.100      2.400       20.0       25.0     0.966323
     2.100      2.400       25.0       30.0     0.968811
     2.100      2.400       30.0       40.0     0.969162
     2.100      2.400       40.0       60.0     0.969688
     2.100      2.400       60.0      100.0     0.962788
     2.100      2.400      100.0      200.0     0.956813
