   eta_low   eta_high     pt_low    pt_high    effData      effMC  ScaleFactor   SF_StatErr   SF_SystErr  SF_TotalErr
     0.000      0.800     10.000     15.000     0.4210     0.4340       0.9700       0.0184       0.0516       0.0547
     0.000      0.800     15.000     20.000     0.5220     0.5420       0.9631       0.0082       0.0372       0.0381
     0.000      0.800     20.000     35.000     0.6695     0.6930       0.9661       0.0014       0.0130       0.0131
     0.000      0.800     35.000     50.000     0.7905     0.8125       0.9729       0.0012       0.0041       0.0043
     0.000      0.800     50.000     90.000     0.8250     0.8485       0.9723       0.0012       0.0155       0.0155
     0.000      0.800     90.000    150.000     0.8630     0.8680       0.9942       0.0043       0.0110       0.0118
     0.000      0.800    150.000    500.000     0.8875     0.8810       1.0074       0.0080       0.0123       0.0147
     0.800      1.442     10.000     15.000     0.4300     0.4095       1.0501       0.0190       0.0693       0.0719
     0.800      1.442     15.000     20.000     0.5140     0.5165       0.9952       0.0087       0.0212       0.0229
     0.800      1.442     20.000     35.000     0.6345     0.6530       0.9717       0.0015       0.0135       0.0136
     0.800      1.442     35.000     50.000     0.7570     0.7770       0.9743       0.0013       0.0072       0.0073
     0.800      1.442     50.000     90.000     0.7995     0.8225       0.9720       0.0012       0.0160       0.0160
     0.800      1.442     90.000    150.000     0.8500     0.8510       0.9988       0.0059       0.0128       0.0141
     0.800      1.442    150.000    500.000     0.8590     0.8650       0.9931       0.0104       0.0169       0.0198
     1.442      1.566     10.000     15.000     0.2795     0.2260       1.2367       0.0707       0.2917       0.3001
     1.442      1.566     15.000     20.000     0.2995     0.2880       1.0399       0.0311       0.1822       0.1848
     1.442      1.566     20.000     35.000     0.4255     0.4190       1.0155       0.0048       0.1070       0.1071
     1.442      1.566     35.000     50.000     0.6010     0.6090       0.9869       0.0033       0.0115       0.0120
     1.442      1.566     50.000     90.000     0.6480     0.6480       1.0000       0.0062       0.0236       0.0244
     1.442      1.566     90.000    150.000     0.6995     0.6855       1.0204       0.0288       0.0565       0.0634
     1.442      1.566    150.000    500.000     0.6660     0.6930       0.9610       0.0569       0.1804       0.1891
     1.566      2.000     10.000     15.000     0.3285     0.3085       1.0648       0.0251       0.1013       0.1044
     1.566      2.000     15.000     20.000     0.4370     0.4405       0.9921       0.0113       0.0232       0.0258
     1.566      2.000     20.000     35.000     0.5915     0.6005       0.9850       0.0017       0.0166       0.0166
     1.566      2.000     35.000     50.000     0.7190     0.7240       0.9931       0.0014       0.0059       0.0061
     1.566      2.000     50.000     90.000     0.7810     0.7865       0.9930       0.0025       0.0109       0.0111
     1.566      2.000     90.000    150.000     0.8595     0.8470       1.0148       0.0095       0.0128       0.0159
     1.566      2.000    150.000    500.000     0.8610     0.8620       0.9988       0.0189       0.0339       0.0388
     2.000      2.500     10.000     15.000     0.2970     0.2555       1.1624       0.0273       0.0482       0.0554
     2.000      2.500     15.000     20.000     0.4105     0.3890       1.0553       0.0132       0.0131       0.0186
     2.000      2.500     20.000     35.000     0.5570     0.5485       1.0155       0.0018       0.0125       0.0126
     2.000      2.500     35.000     50.000     0.6710     0.6635       1.0113       0.0015       0.0053       0.0055
     2.000      2.500     50.000     90.000     0.7335     0.7270       1.0089       0.0035       0.0180       0.0183
     2.000      2.500     90.000    150.000     0.7940     0.7920       1.0025       0.0149       0.0229       0.0273
     2.000      2.500    150.000    500.000     0.8500     0.7510       1.1318       0.0399       0.0365       0.0541
