 eta_low eta_high   pt_low  pt_high    effData   statData   systData      effMC     statMC     systMC
  -2.400   -2.100     10.0     15.0     0.7507     0.0044     0.0027     0.7064     0.0034     0.0036
  -2.400   -2.100     15.0     20.0     0.8061     0.0030     0.0068     0.7853     0.0023     0.0054
  -2.400   -2.100     20.0     25.0     0.8632     0.0019     0.0062     0.8417     0.0016     0.0065
  -2.400   -2.100     25.0     30.0     0.9090     0.0012     0.0028     0.8928     0.0010     0.0035
  -2.400   -2.100     30.0     40.0     0.9546     0.0003     0.0005     0.9469     0.0004     0.0006
  -2.400   -2.100     40.0     60.0     0.9838     0.0002     0.0002     0.9804     0.0002     0.0002
  -2.400   -2.100     60.0    100.0     0.9924     0.0006     0.0004     0.9883     0.0005     0.0003
  -2.400   -2.100    100.0    200.0     0.9955     0.0019     0.0048     0.9896     0.0016     0.0008
  -2.100   -1.600     10.0     15.0     0.7711     0.0033     0.0038     0.7281     0.0024     0.0040
  -2.100   -1.600     15.0     20.0     0.8306     0.0014     0.0047     0.7960     0.0017     0.0065
  -2.100   -1.600     20.0     25.0     0.8710     0.0013     0.0071     0.8461     0.0012     0.0081
  -2.100   -1.600     25.0     30.0     0.9139     0.0009     0.0048     0.8919     0.0008     0.0049
  -2.100   -1.600     30.0     40.0     0.9578     0.0002     0.0006     0.9487     0.0003     0.0007
  -2.100   -1.600     40.0     60.0     0.9860     0.0001     0.0006     0.9829     0.0001     0.0002
  -2.100   -1.600     60.0    100.0     0.9903     0.0004     0.0005     0.9885     0.0003     0.0003
  -2.100   -1.600    100.0    200.0     0.9901     0.0014     0.0010     0.9873     0.0010     0.0005
  -1.600   -1.200     10.0     15.0     0.7335     0.0039     0.0067     0.6970     0.0028     0.0059
  -1.600   -1.200     15.0     20.0     0.7891     0.0020     0.0080     0.7694     0.0019     0.0090
  -1.600   -1.200     20.0     25.0     0.8369     0.0016     0.0101     0.8201     0.0013     0.0107
  -1.600   -1.200     25.0     30.0     0.8822     0.0010     0.0059     0.8685     0.0009     0.0065
  -1.600   -1.200     30.0     40.0     0.9424     0.0003     0.0006     0.9365     0.0003     0.0008
  -1.600   -1.200     40.0     60.0     0.9800     0.0002     0.0003     0.9790     0.0001     0.0003
  -1.600   -1.200     60.0    100.0     0.9867     0.0005     0.0005     0.9859     0.0004     0.0004
  -1.600   -1.200    100.0    200.0     0.9861     0.0015     0.0011     0.9863     0.0010     0.0004
  -1.200   -0.800     10.0     15.0     0.6875     0.0022     0.0076     0.6692     0.0029     0.0069
  -1.200   -0.800     15.0     20.0     0.7560     0.0024     0.0096     0.7385     0.0020     0.0094
  -1.200   -0.800     20.0     25.0     0.8104     0.0010     0.0111     0.7911     0.0013     0.0121
  -1.200   -0.800     25.0     30.0     0.8611     0.0011     0.0061     0.8490     0.0009     0.0062
  -1.200   -0.800     30.0     40.0     0.9335     0.0003     0.0022     0.9289     0.0003     0.0008
  -1.200   -0.800     40.0     60.0     0.9752     0.0002     0.0004     0.9743     0.0001     0.0003
  -1.200   -0.800     60.0    100.0     0.9861     0.0005     0.0007     0.9838     0.0004     0.0004
  -1.200   -0.800    100.0    200.0     0.9840     0.0014     0.0020     0.9839     0.0011     0.0007
  -0.800   -0.300     10.0     15.0     0.6691     0.0040     0.0068     0.6571     0.0027     0.0080
  -0.800   -0.300     15.0     20.0     0.7455     0.0023     0.0112     0.7343     0.0017     0.0109
  -0.800   -0.300     20.0     25.0     0.7977     0.0014     0.0113     0.7909     0.0011     0.0111
  -0.800   -0.300     25.0     30.0     0.8564     0.0006     0.0060     0.8545     0.0007     0.0055
  -0.800   -0.300     30.0     40.0     0.9312     0.0002     0.0007     0.9313     0.0002     0.0008
  -0.800   -0.300     40.0     60.0     0.9730     0.0002     0.0004     0.9738     0.0001     0.0004
  -0.800   -0.300     60.0    100.0     0.9821     0.0005     0.0002     0.9832     0.0003     0.0003
  -0.800   -0.300    100.0    200.0     0.9846     0.0013     0.0021     0.9823     0.0009     0.0006
  -0.300   -0.200     10.0     15.0     0.6394     0.0106     0.0090     0.6443     0.0071     0.0096
  -0.300   -0.200     15.0     20.0     0.7311     0.0051     0.0093     0.7262     0.0039     0.0101
  -0.300   -0.200     20.0     25.0     0.7947     0.0031     0.0097     0.7894     0.0024     0.0099
  -0.300   -0.200     25.0     30.0     0.8520     0.0019     0.0056     0.8556     0.0015     0.0053
  -0.300   -0.200     30.0     40.0     0.9256     0.0005     0.0005     0.9286     0.0005     0.0006
  -0.300   -0.200     40.0     60.0     0.9689     0.0004     0.0004     0.9724     0.0003     0.0004
  -0.300   -0.200     60.0    100.0     0.9813     0.0012     0.0011     0.9816     0.0008     0.0005
  -0.300   -0.200    100.0    200.0     0.9926     0.0032     0.0013     0.9872     0.0019     0.0008
  -0.200    0.000     10.0     15.0     0.6180     0.0071     0.0148     0.6309     0.0049     0.0104
  -0.200    0.000     15.0     20.0     0.7130     0.0037     0.0107     0.7209     0.0026     0.0103
  -0.200    0.000     20.0     25.0     0.7904     0.0021     0.0084     0.7939     0.0016     0.0099
  -0.200    0.000     25.0     30.0     0.8545     0.0013     0.0042     0.8551     0.0010     0.0046
  -0.200    0.000     30.0     40.0     0.9235     0.0005     0.0011     0.9285     0.0004     0.0008
