 eta_low eta_high   pt_low  pt_high    effData   statData   systData      effMC     statMC     systMC
  -2.400   -2.100     10.0     15.0     0.9189     0.0031     0.0038     0.9468     0.0016     0.0016
  -2.400   -2.100     15.0     20.0     0.9247     0.0015     0.0042     0.9571     0.0011     0.0017
  -2.400   -2.100     20.0     25.0     0.9369     0.0013     0.0014     0.9640     0.0008     0.0014
  -2.400   -2.100     25.0     30.0     0.9384     0.0010     0.0020     0.9644     0.0006     0.0016
  -2.400   -2.100     30.0     40.0     0.9404     0.0005     0.0016     0.9655     0.0003     0.0010
  -2.400   -2.100     40.0     60.0     0.9403     0.0004     0.0017     0.9676     0.0003     0.0010
  -2.400   -2.100     60.0    100.0     0.9310     0.0016     0.0036     0.9616     0.0009     0.0028
  -2.400   -2.100    100.0    200.0     0.9260     0.0048     0.0035     0.9530     0.0032     0.0018
  -2.100   -1.600     10.0     15.0     0.9664     0.0019     0.0028     0.9833     0.0007     0.0011
  -2.100   -1.600     15.0     20.0     0.9721     0.0007     0.0012     0.9881     0.0004     0.0003
  -2.100   -1.600     20.0     25.0     0.9767     0.0006     0.0012     0.9913     0.0003     0.0003
  -2.100   -1.600     25.0     30.0     0.9754     0.0005     0.0012     0.9913     0.0002     0.0003
  -2.100   -1.600     30.0     40.0     0.9750     0.0002     0.0008     0.9905     0.0001     0.0002
  -2.100   -1.600     40.0     60.0     0.9734     0.0002     0.0010     0.9892     0.0001     0.0002
  -2.100   -1.600     60.0    100.0     0.9710     0.0007     0.0008     0.9867     0.0004     0.0008
  -2.100   -1.600    100.0    200.0     0.9645     0.0026     0.0009     0.9809     0.0013     0.0002
  -1.600   -1.200     10.0     15.0     0.9758     0.0022     0.0044     0.9844     0.0007     0.0024
  -1.600   -1.200     15.0     20.0     0.9856     0.0010     0.0021     0.9901     0.0004     0.0013
  -1.600   -1.200     20.0     25.0     0.9895     0.0005     0.0021     0.9948     0.0002     0.0007
  -1.600   -1.200     25.0     30.0     0.9908     0.0003     0.0015     0.9953     0.0002     0.0005
  -1.600   -1.200     30.0     40.0     0.9903     0.0001     0.0011     0.9953     0.0001     0.0004
  -1.600   -1.200     40.0     60.0     0.9910     0.0001     0.0011     0.9956     0.0001     0.0004
  -1.600   -1.200     60.0    100.0     0.9907     0.0004     0.0014     0.9952     0.0002     0.0007
  -1.600   -1.200    100.0    200.0     0.9868     0.0013     0.0028     0.9936     0.0007     0.0004
  -1.200   -0.800     10.0     15.0     0.9498     0.0016     0.0057     0.9666     0.0011     0.0024
  -1.200   -0.800     15.0     20.0     0.9564     0.0008     0.0029     0.9732     0.0007     0.0010
  -1.200   -0.800     20.0     25.0     0.9600     0.0008     0.0015     0.9760     0.0005     0.0004
  -1.200   -0.800     25.0     30.0     0.9624     0.0004     0.0004     0.9764     0.0004     0.0002
  -1.200   -0.800     30.0     40.0     0.9614     0.0003     0.0010     0.9763     0.0002     0.0001
  -1.200   -0.800     40.0     60.0     0.9606     0.0002     0.0004     0.9766     0.0001     0.0001
  -1.200   -0.800     60.0    100.0     0.9568     0.0008     0.0007     0.9745     0.0005     0.0002
  -1.200   -0.800    100.0    200.0     0.9528     0.0024     0.0015     0.9699     0.0014     0.0004
  -0.800   -0.300     10.0     15.0     0.9713     0.0023     0.0030     0.9831     0.0007     0.0009
  -0.800   -0.300     15.0     20.0     0.9817     0.0009     0.0015     0.9892     0.0004     0.0003
  -0.800   -0.300     20.0     25.0     0.9848     0.0002     0.0011     0.9915     0.0002     0.0001
  -0.800   -0.300     25.0     30.0     0.9847     0.0002     0.0006     0.9924     0.0002     0.0001
  -0.800   -0.300     30.0     40.0     0.9857     0.0001     0.0005     0.9926     0.0001     0.0001
  -0.800   -0.300     40.0     60.0     0.9853     0.0001     0.0004     0.9926     0.0001     0.0001
  -0.800   -0.300     60.0    100.0     0.9832     0.0005     0.0005     0.9919     0.0002     0.0002
  -0.800   -0.300    100.0    200.0     0.9798     0.0015     0.0016     0.9909     0.0007     0.0002
  -0.300   -0.200     10.0     15.0     0.8686     0.0075     0.0065     0.8949     0.0043     0.0016
  -0.300   -0.200     15.0     20.0     0.8755     0.0036     0.0028     0.9037     0.0024     0.0007
  -0.300   -0.200     20.0     25.0     0.8797     0.0023     0.0012     0.9074     0.0016     0.0004
  -0.300   -0.200     25.0     30.0     0.8788     0.0016     0.0014     0.9046     0.0012     0.0003
  -0.300   -0.200     30.0     40.0     0.8779     0.0008     0.0009     0.9077     0.0006     0.0001
  -0.300   -0.200     40.0     60.0     0.8756     0.0007     0.0007     0.9064     0.0005     0.0002
  -0.300   -0.200     60.0    100.0     0.8752     0.0020     0.0024     0.9037     0.0017     0.0004
  -0.300   -0.200    100.0    200.0     0.8662     0.0057     0.0020     0.9012     0.0047     0.0003
  -0.200    0.000     10.0     15.0     0.9655     0.0039     0.0029     0.9730     0.0016     0.0018
  -0.200    0.000     15.0     20.0     0.9645     0.0017     0.0022     0.9802     0.0008     0.0008
  -0.200    0.000     20.0     25.0     0.9708     0.0006     0.0011     0.9829     0.0005     0.0007
  -0.200    0.000     25.0     30.0     0.9735     0.0004     0.0019     0.9831     0.0004     0.0004
  -0.200    0.000     30.0     40.0     0.9750     0.0002     0.0010     0.9839     0.0002     0.0003
  -0.200    0.000     40.0     60.0     0.9748     0.0002     0.0007     0.9835     0.0002     0.0003
  -0.200    0.000     60.0    100.0     0.9727     0.0007     0.0007     0.9818     0.0005     0.0002
  -0.200    0.000    100.0    200.0     0.9731     0.0028     0.0013     0.9809     0.0015     0.0001
   0.000    0.200     10.0     15.0     0.9657     0.0024     0.0045     0.9730     0.0016     0.0018
   0.000    0.200     15.0     20.0     0.9648     0.0017     0.0022     0.9784     0.0008     0.0012
   0.000    0.200     20.0     25.0     0.9739     0.0009     0.0015     0.9801     0.0005     0.0004
   0.000    0.200     25.0     30.0     0.9731     0.0006     0.0008     0.9813     0.0004     0.0005
   0.000    0.200     30.0     40.0     0.9745     0.0002     0.0005     0.9820     0.0002     0.0003
   0.000    0.200     40.0     60.0     0.9733     0.0002     0.0010     0.9820     0.0002     0.0003
   0.000    0.200     60.0    100.0     0.9729     0.0009     0.0012     0.9809     0.0005     0.0004
   0.000    0.200    100.0    200.0     0.9723     0.0026     0.0013     0.9811     0.0014     0.0002
   0.200    0.300     10.0     15.0     0.8463     0.0083     0.0063     0.8896     0.0044     0.0014
   0.200    0.300     15.0     20.0     0.8564     0.0041     0.0052     0.8896     0.0026     0.0007
   0.200    0.300     20.0     25.0     0.8763     0.0025     0.0022     0.8993     0.0017     0.0004
   0.200    0.300     25.0     30.0     0.8695     0.0017     0.0025     0.8976     0.0012     0.0004
   0.200    0.300     30.0     40.0     0.8745     0.0007     0.0009     0.8993     0.0006     0.0001
   0.200    0.300     40.0     60.0     0.8716     0.0007     0.0019     0.8966     0.0005     0.0001
   0.200    0.300     60.0    100.0     0.8698     0.0026     0.0030     0.8914     0.0018     0.0003
   0.200    0.300    100.0    200.0     0.8402     0.0076     0.0033     0.8920     0.0048     0.0006
   0.300    0.800     10.0     15.0     0.9711     0.0023     0.0049     0.9831     0.0007     0.0014
   0.300    0.800     15.0     20.0     0.9774     0.0010     0.0008     0.9883     0.0004     0.0005
   0.300    0.800     20.0     25.0     0.9828     0.0005     0.0010     0.9909     0.0003     0.0003
   0.300    0.800     25.0     30.0     0.9826     0.0003     0.0011     0.9917     0.0002     0.0002
   0.300    0.800     30.0     40.0     0.9828     0.0001     0.0005     0.9920     0.0001     0.0001
   0.300    0.800     40.0     60.0     0.9825     0.0001     0.0005     0.9919     0.0001     0.0002
   0.300    0.800     60.0    100.0     0.9798     0.0002     0.0012     0.9911     0.0002     0.0001
   0.300    0.800    100.0    200.0     0.9787     0.0014     0.0007     0.9891     0.0007     0.0003
   0.800    1.200     10.0     15.0     0.9421     0.0027     0.0045     0.9650     0.0011     0.0022
   0.800    1.200     15.0     20.0     0.9524     0.0014     0.0024     0.9745     0.0007     0.0008
   0.800    1.200     20.0     25.0     0.9556     0.0007     0.0008     0.9773     0.0005     0.0005
   0.800    1.200     25.0     30.0     0.9585     0.0006     0.0008     0.9774     0.0004     0.0002
   0.800    1.200     30.0     40.0     0.9571     0.0002     0.0008     0.9778     0.0002     0.0002
   0.800    1.200     40.0     60.0     0.9582     0.0002     0.0006     0.9782     0.0001     0.0001
   0.800    1.200     60.0    100.0     0.9540     0.0008     0.0005     0.9751     0.0005     0.0001
   0.800    1.200    100.0    200.0     0.9511     0.0026     0.0004     0.9716     0.0013     0.0002
   1.200    1.600     10.0     15.0     0.9722     0.0024     0.0079     0.9838     0.0008     0.0025
   1.200    1.600     15.0     20.0     0.9773     0.0011     0.0046     0.9902     0.0004     0.0014
   1.200    1.600     20.0     25.0     0.9868     0.0006     0.0028     0.9947     0.0002     0.0007
   1.200    1.600     25.0     30.0     0.9899     0.0004     0.0018     0.9950     0.0002     0.0007
   1.200    1.600     30.0     40.0     0.9887     0.0002     0.0017     0.9951     0.0001     0.0005
   1.200    1.600     40.0     60.0     0.9896     0.0001     0.0014     0.9956     0.0001     0.0005
   1.200    1.600     60.0    100.0     0.9889     0.0005     0.0015     0.9952     0.0002     0.0009
   1.200    1.600    100.0    200.0     0.9871     0.0016     0.0016     0.9958     0.0005     0.0003
   1.600    2.100     10.0     15.0     0.9707     0.0020     0.0016     0.9817     0.0007     0.0014
   1.600    2.100     15.0     20.0     0.9729     0.0010     0.0015     0.9869     0.0005     0.0003
   1.600    2.100     20.0     25.0     0.9817     0.0006     0.0026     0.9921     0.0003     0.0002
   1.600    2.100     25.0     30.0     0.9793     0.0003     0.0011     0.9907     0.0002     0.0002
   1.600    2.100     30.0     40.0     0.9788     0.0002     0.0008     0.9904     0.0001     0.0002
   1.600    2.100     40.0     60.0     0.9774     0.0002     0.0005     0.9896     0.0001     0.0002
   1.600    2.100     60.0    100.0     0.9744     0.0006     0.0004     0.9868     0.0004     0.0004
   1.600    2.100    100.0    200.0     0.9638     0.0025     0.0015     0.9807     0.0013     0.0002
   2.100    2.400     10.0     15.0     0.9185     0.0032     0.0079     0.9444     0.0016     0.0030
   2.100    2.400     15.0     20.0     0.9292     0.0010     0.0030     0.9547     0.0011     0.0023
   2.100    2.400     20.0     25.0     0.9482     0.0008     0.0045     0.9663     0.0008     0.0020
   2.100    2.400     25.0     30.0     0.9494     0.0009     0.0026     0.9688     0.0006     0.0019
   2.100    2.400     30.0     40.0     0.9462     0.0004     0.0024     0.9692     0.0003     0.0014
   2.100    2.400     40.0     60.0     0.9461     0.0001     0.0022     0.9697     0.0002     0.0011
   2.100    2.400     60.0    100.0     0.9426     0.0017     0.0037     0.9628     0.0009     0.0035
   2.100    2.400    100.0    200.0     0.9321     0.0049     0.0013     0.9568     0.0030     0.0019
