Sample,Total,e-μ Preselect,Global Cuts,0-jet,1-jet,2-jet,SR 0j,SR 1j,SR 2j,CR Top 0j,CR Top 1j,CR Top 2j
Data,62385800.00,320498.00,46371.00,15657.00,15953.00,14761.00,12328.00,11380.00,1618.00,2090.00,16485.00,6883.00
ggH_HWW,15207.75,1039.34,679.84,405.65,184.06,90.13,370.43,142.44,10.17,4.21,1.51,0.22
WW,179544.34,17675.10,10979.44,6612.85,3088.21,1278.39,5807.97,2624.87,189.55,144.79,92.15,13.16
Top_antitop,3429004.84,174161.59,18376.16,2606.15,6314.84,9455.17,2220.68,5303.12,1066.83,1472.63,15719.71,7070.86
DY_to_Tau_Tau,91252247.41,84609.46,7263.10,1525.96,3810.48,1926.66,528.85,1590.25,119.38,61.63,202.61,14.23
Fakes,912480427.19,28578.86,9821.86,7021.77,1956.09,844.01,5269.43,1453.40,110.05,461.40,376.16,251.41
ggWW,941.66,139.96,103.03,61.96,30.81,10.26,57.25,27.29,1.47,1.46,0.87,0.10
Diboson,391400.89,1150.44,649.27,228.67,241.55,179.05,189.85,176.79,17.78,10.16,8.84,2.09
VG,6842395.67,5539.28,1675.89,822.13,536.15,317.61,677.94,359.75,34.01,27.62,21.22,0.69
TOTAL (MC),1014591169.74,312894.02,49548.60,19285.13,16162.20,14101.27,15122.40,11677.91,1549.24,2183.90,16423.07,7352.76
