Sample,Total (Raw),e-μ Preselect,Global Cuts,0-jet,1-jet,2-jet,SR 0j,SR 1j,SR 2j,CR Top 0j,CR Top 1j,CR Top 2j
Data,62385800,320498,46371,15657,15953,14761,12328,11380,1618,2090,16485,6883
ggH_HWW,2946000,205798,134748,80302,36537,17909,73369,28286,2021,830,299,44
WW,2900000,292077,181399,109318,50997,21084,96085,43368,3128,2372,1529,218
Top_antitop,137367000,5550952,535599,62504,173859,299236,52884,145806,32814,41662,465024,231422
DY_to_Tau_Tau,82448537,77686,6662,1384,3504,1774,478,1464,110,56,187,13
Fakes,225680227,162608,10497,846,1796,7855,639,1328,855,321,5885,6580
ggWW,17662000,2694127,1983991,1193300,593292,197399,1103186,525653,28241,27840,16692,1891
Diboson,15551954,29207,14881,3087,4542,7252,2519,2857,469,136,168,49
VG,34915878,61491,16674,5785,7358,3531,3833,3676,293,149,252,28
TOTAL (MC),519471596,9073946,2884451,1456526,871885,556040,1332993,752438,67931,73366,490036,240245
