Sample,Total (Raw),e-μ Preselect,Global Cuts,0-jet,1-jet,2-jet,SR 0j,SR 1j,SR 2j,CR Top 0j,CR Top 1j,CR Top 2j
Data,62385800.00,320498.00,46371.00,15657.00,15953.00,14761.00,12328.00,11380.00,1618.00,2090.00,16485.00,6883.00
ggH_HWW,15436.57,1054.98,690.07,411.75,186.83,91.49,376.00,144.59,10.32,4.27,1.53,0.22
WW,182245.80,17941.05,11144.64,6712.35,3134.68,1297.62,5895.36,2664.37,192.40,146.97,93.54,13.36
Top_antitop,3480598.89,176782.09,18652.66,2645.37,6409.86,9597.43,2254.09,5382.91,1082.88,1494.79,15956.24,7177.25
DY_to_Tau_Tau,90168168.35,83604.27,7176.81,1507.83,3765.21,1903.77,522.57,1571.36,117.96,60.90,200.21,14.06
Fakes,926210036.68,29008.87,9969.65,7127.42,1985.52,856.71,5348.71,1475.26,111.71,468.34,381.82,255.20
ggWW,8836.93,1313.42,966.93,581.42,289.18,96.33,537.30,256.11,13.78,13.66,8.14,0.92
Diboson,397290.09,1167.75,659.04,232.12,245.18,181.74,192.71,179.45,18.04,10.31,8.97,2.12
VG,8029875.81,7656.66,2207.13,1040.38,741.64,425.12,822.82,463.51,41.83,33.07,27.97,1.56
TOTAL (MC),1028492489.12,318529.09,51466.93,20258.62,16758.10,14450.21,15949.56,12137.55,1588.92,2232.32,16678.41,7464.70
