   eta_low   eta_high     pt_low    pt_high   efficiency
    -2.400     -2.100       10.0       15.0     0.750749
    -2.400     -2.100       15.0       20.0     0.806140
    -2.400     -2.100       20.0       25.0     0.863237
    -2.400     -2.100       25.0       30.0     0.908975
    -2.400     -2.100       30.0       40.0     0.954634
    -2.400     -2.100       40.0       60.0     0.983818
    -2.400     -2.100       60.0      100.0     0.992401
    -2.400     -2.100      100.0      200.0     0.995489
    -2.100     -1.600       10.0       15.0     0.771063
    -2.100     -1.600       15.0       20.0     0.830553
    -2.100     -1.600       20.0       25.0     0.871012
    -2.100     -1.600       25.0       30.0     0.913888
    -2.100     -1.600       30.0       40.0     0.957757
    -2.100     -1.600       40.0       60.0     0.985986
    -2.100     -1.600       60.0      100.0     0.990313
    -2.100     -1.600      100.0      200.0     0.990103
    -1.600     -1.200       10.0       15.0     0.733517
    -1.600     -1.200       15.0       20.0     0.789141
    -1.600     -1.200       20.0       25.0     0.836867
    -1.600     -1.200       25.0       30.0     0.882172
    -1.600     -1.200       30.0       40.0     0.942380
    -1.600     -1.200       40.0       60.0     0.979978
    -1.600     -1.200       60.0      100.0     0.986703
    -1.600     -1.200      100.0      200.0     0.986090
    -1.200     -0.800       10.0       15.0     0.687493
    -1.200     -0.800       15.0       20.0     0.756048
    -1.200     -0.800       20.0       25.0     0.810382
    -1.200     -0.800       25.0       30.0     0.861111
    -1.200     -0.800       30.0       40.0     0.933487
    -1.200     -0.800       40.0       60.0     0.975181
    -1.200     -0.800       60.0      100.0     0.986059
    -1.200     -0.800      100.0      200.0     0.984009
    -0.800     -0.300       10.0       15.0     0.669070
    -0.800     -0.300       15.0       20.0     0.745536
    -0.800     -0.300       20.0       25.0     0.797696
    -0.800     -0.300       25.0       30.0     0.856436
    -0.800     -0.300       30.0       40.0     0.931199
    -0.800     -0.300       40.0       60.0     0.972976
    -0.800     -0.300       60.0      100.0     0.982141
    -0.800     -0.300      100.0      200.0     0.984623
    -0.300     -0.200       10.0       15.0     0.639425
    -0.300     -0.200       15.0       20.0     0.731133
    -0.300     -0.200       20.0       25.0     0.794728
    -0.300     -0.200       25.0       30.0     0.851994
    -0.300     -0.200       30.0       40.0     0.925588
    -0.300     -0.200       40.0       60.0     0.968921
    -0.300     -0.200       60.0      100.0     0.981313
    -0.300     -0.200      100.0      200.0     0.992586
    -0.200      0.000       10.0       15.0     0.618016
    -0.200      0.000       15.0       20.0     0.713036
    -0.200      0.000       20.0       25.0     0.790396
    -0.200      0.000       25.0       30.0     0.854508
    -0.200      0.000       30.0       40.0     0.923497
    -0.200      0.000       40.0       60.0     0.968977
    -0.200      0.000       60.0      100.0     0.980435
    -0.200      0.000      100.0      200.0     0.981340
     0.000      0.200       10.0       15.0     0.639466
     0.000      0.200       15.0       20.0     0.713544
     0.000      0.200       20.0       25.0     0.801010
     0.000      0.200       25.0       30.0     0.854582
     0.000      0.200       30.0       40.0     0.924863
     0.000      0.200       40.0       60.0     0.969137
     0.000      0.200       60.0      100.0     0.981249
     0.000      0.200      100.0      200.0     0.989613
     0.200      0.300       10.0       15.0     0.667504
     0.200      0.300       15.0       20.0     0.717207
     0.200      0.300       20.0       25.0     0.791084
     0.200      0.300       25.0       30.0     0.854861
     0.200      0.300       30.0       40.0     0.927147
     0.200      0.300       40.0       60.0     0.971714
     0.200      0.300       60.0      100.0     0.984612
     0.200      0.300      100.0      200.0     0.990963
     0.300      0.800       10.0       15.0     0.667194
     0.300      0.800       15.0       20.0     0.747644
     0.300      0.800       20.0       25.0     0.800907
     0.300      0.800       25.0       30.0     0.861725
     0.300      0.800       30.0       40.0     0.933341
     0.300      0.800       40.0       60.0     0.974101
     0.300      0.800       60.0      100.0     0.984478
     0.300      0.800      100.0      200.0     0.987574
     0.800      1.200       10.0       15.0     0.687739
     0.800      1.200       15.0       20.0     0.753512
     0.800      1.200       20.0       25.0     0.807836
     0.800      1.200       25.0       30.0     0.861183
     0.800      1.200       30.0       40.0     0.933223
     0.800      1.200       40.0       60.0     0.975323
     0.800      1.200       60.0      100.0     0.984161
     0.800      1.200      100.0      200.0     0.984791
     1.200      1.600       10.0       15.0     0.725114
     1.200      1.600       15.0       20.0     0.777527
     1.200      1.600       20.0       25.0     0.827908
     1.200      1.600       25.0       30.0     0.877450
     1.200      1.600       30.0       40.0     0.938887
     1.200      1.600       40.0       60.0     0.979006
     1.200      1.600       60.0      100.0     0.987369
     1.200      1.600      100.0      200.0     0.986148
     1.600      2.100       10.0       15.0     0.758423
     1.600      2.100       15.0       20.0     0.817931
     1.600      2.100       20.0       25.0     0.867153
     1.600      2.100       25.0       30.0     0.909322
     1.600      2.100       30.0       40.0     0.957153
     1.600      2.100       40.0       60.0     0.985459
     1.600      2.100       60.0      100.0     0.990065
     1.600      2.100      100.0      200.0     0.990726
     2.100      2.400       10.0       15.0     0.741562
     2.100      2.400       15.0       20.0     0.813148
     2.100      2.400       20.0       25.0     0.858505
     2.100      2.400       25.0       30.0     0.904921
     2.100      2.400       30.0       40.0     0.954930
     2.100      2.400       40.0       60.0     0.983137
     2.100      2.400       60.0      100.0     0.992348
     2.100      2.400      100.0      200.0     0.998519
