Sample,Total (Raw),e-μ Preselect,Global Cuts,0-jet,1-jet,2-jet,SR 0j,SR 1j,SR 2j,CR Top 0j,CR Top 1j,CR Top 2j
Data,62385800,320498,46371,15657,15953,14761,11389,8112,1171,2090,16485,6883
ggH_HWW,2946000,205798,134748,80302,36537,17909,71091,25225,1675,830,299,44
WW,2900000,292077,181399,109318,50997,21084,91848,34401,2173,2372,1529,218
Top_antitop,137367000,5550952,535599,62504,173859,299236,50017,123175,26207,41662,465024,231422
DY_to_Tau_Tau,82448537,77686,6662,1384,3504,1774,258,154,12,56,187,13
fakes,225680227,162608,10497,846,1796,7855,590,954,559,321,5885,6580
ggWW,17662000,2694127,1983991,1193300,593292,197399,1078519,477629,23823,27840,16692,1891
Diboson,15551954,29207,14881,3087,4542,7252,2296,1870,169,136,168,49
VG,34915878,61491,16674,5785,7358,3531,2974,1895,117,149,252,28
TOTAL (MC),519471596,9073946,2884451,1456526,871885,556040,1297593,665303,54735,73366,490036,240245
