   eta_low   eta_high     pt_low    pt_high   efficiency
    -2.400     -2.100       10.0       15.0     0.918923
    -2.400     -2.100       15.0       20.0     0.924680
    -2.400     -2.100       20.0       25.0     0.936910
    -2.400     -2.100       25.0       30.0     0.938403
    -2.400     -2.100       30.0       40.0     0.940384
    -2.400     -2.100       40.0       60.0     0.940327
    -2.400     -2.100       60.0      100.0     0.931029
    -2.400     -2.100      100.0      200.0     0.925967
    -2.100     -1.600       10.0       15.0     0.966391
    -2.100     -1.600       15.0       20.0     0.972088
    -2.100     -1.600       20.0       25.0     0.976749
    -2.100     -1.600       25.0       30.0     0.975361
    -2.100     -1.600       30.0       40.0     0.974972
    -2.100     -1.600       40.0       60.0     0.973357
    -2.100     -1.600       60.0      100.0     0.971013
    -2.100     -1.600      100.0      200.0     0.964490
    -1.600     -1.200       10.0       15.0     0.975774
    -1.600     -1.200       15.0       20.0     0.985575
    -1.600     -1.200       20.0       25.0     0.989506
    -1.600     -1.200       25.0       30.0     0.990823
    -1.600     -1.200       30.0       40.0     0.990290
    -1.600     -1.200       40.0       60.0     0.990957
    -1.600     -1.200       60.0      100.0     0.990659
    -1.600     -1.200      100.0      200.0     0.986765
    -1.200     -0.800       10.0       15.0     0.949774
    -1.200     -0.800       15.0       20.0     0.956395
    -1.200     -0.800       20.0       25.0     0.959993
    -1.200     -0.800       25.0       30.0     0.962371
    -1.200     -0.800       30.0       40.0     0.961365
    -1.200     -0.800       40.0       60.0     0.960617
    -1.200     -0.800       60.0      100.0     0.956814
    -1.200     -0.800      100.0      200.0     0.952754
    -0.800     -0.300       10.0       15.0     0.971290
    -0.800     -0.300       15.0       20.0     0.981731
    -0.800     -0.300       20.0       25.0     0.984803
    -0.800     -0.300       25.0       30.0     0.984694
    -0.800     -0.300       30.0       40.0     0.985687
    -0.800     -0.300       40.0       60.0     0.985296
    -0.800     -0.300       60.0      100.0     0.983203
    -0.800     -0.300      100.0      200.0     0.979838
    -0.300     -0.200       10.0       15.0     0.868594
    -0.300     -0.200       15.0       20.0     0.875457
    -0.300     -0.200       20.0       25.0     0.879689
    -0.300     -0.200       25.0       30.0     0.878808
    -0.300     -0.200       30.0       40.0     0.877885
    -0.300     -0.200       40.0       60.0     0.875637
    -0.300     -0.200       60.0      100.0     0.875190
    -0.300     -0.200      100.0      200.0     0.866175
    -0.200      0.000       10.0       15.0     0.965472
    -0.200      0.000       15.0       20.0     0.964473
    -0.200      0.000       20.0       25.0     0.970754
    -0.200      0.000       25.0       30.0     0.973478
    -0.200      0.000       30.0       40.0     0.974956
    -0.200      0.000       40.0       60.0     0.974757
    -0.200      0.000       60.0      100.0     0.972732
    -0.200      0.000      100.0      200.0     0.973077
     0.000      0.200       10.0       15.0     0.965681
     0.000      0.200       15.0       20.0     0.964796
     0.000      0.200       20.0       25.0     0.973903
     0.000      0.200       25.0       30.0     0.973124
     0.000      0.200       30.0       40.0     0.974548
     0.000      0.200       40.0       60.0     0.973305
     0.000      0.200       60.0      100.0     0.972882
     0.000      0.200      100.0      200.0     0.972341
     0.200      0.300       10.0       15.0     0.846272
     0.200      0.300       15.0       20.0     0.856364
     0.200      0.300       20.0       25.0     0.876265
     0.200      0.300       25.0       30.0     0.869536
     0.200      0.300       30.0       40.0     0.874490
     0.200      0.300       40.0       60.0     0.871649
     0.200      0.300       60.0      100.0     0.869800
     0.200      0.300      100.0      200.0     0.840207
     0.300      0.800       10.0       15.0     0.971072
     0.300      0.800       15.0       20.0     0.977389
     0.300      0.800       20.0       25.0     0.982758
     0.300      0.800       25.0       30.0     0.982588
     0.300      0.800       30.0       40.0     0.982782
     0.300      0.800       40.0       60.0     0.982478
     0.300      0.800       60.0      100.0     0.979830
     0.300      0.800      100.0      200.0     0.978691
     0.800      1.200       10.0       15.0     0.942140
     0.800      1.200       15.0       20.0     0.952354
     0.800      1.200       20.0       25.0     0.955589
     0.800      1.200       25.0       30.0     0.958454
     0.800      1.200       30.0       40.0     0.957119
     0.800      1.200       40.0       60.0     0.958248
     0.800      1.200       60.0      100.0     0.954048
     0.800      1.200      100.0      200.0     0.951147
     1.200      1.600       10.0       15.0     0.972227
     1.200      1.600       15.0       20.0     0.977282
     1.200      1.600       20.0       25.0     0.986838
     1.200      1.600       25.0       30.0     0.989866
     1.200      1.600       30.0       40.0     0.988724
     1.200      1.600       40.0       60.0     0.989607
     1.200      1.600       60.0      100.0     0.988876
     1.200      1.600      100.0      200.0     0.987126
     1.600      2.100       10.0       15.0     0.970680
     1.600      2.100       15.0       20.0     0.972945
     1.600      2.100       20.0       25.0     0.981708
     1.600      2.100       25.0       30.0     0.979303
     1.600      2.100       30.0       40.0     0.978803
     1.600      2.100       40.0       60.0     0.977439
     1.600      2.100       60.0      100.0     0.974404
     1.600      2.100      100.0      200.0     0.963752
     2.100      2.400       10.0       15.0     0.918530
     2.100      2.400       15.0       20.0     0.929236
     2.100      2.400       20.0       25.0     0.948199
     2.100      2.400       25.0       30.0     0.949432
     2.100      2.400       30.0       40.0     0.946244
     2.100      2.400       40.0       60.0     0.946108
     2.100      2.400       60.0      100.0     0.942612
     2.100      2.400      100.0      200.0     0.932114
